Request,Politeness
"qsort does sort lines in increasing order, but your definition of increasing isn't the same as everybody else's. Why do you think it's more logical to sort strings by length rather than by alphabetical order?",0
"Depends on your OS. Are you on Linux, Mac, Windows?",1
"@dmckee - I wasn't aware that a closed question could be edited. Will an edited closed question generally get reconsideration?",1
"What does repair the sequence by replacing the repeated numbers mean? Can you provide an example of the finished product (showing intermediate steps)?",1
"To answer your last question, you want to use `extern C` to prevent the name-mangling. Not sure about the first one yet though; have you verified that you're actually being sent any messages?",1
"Yes, that is the real source code. And the compilation has been performed without optimization, perhaps that is the reason?",1
"Since you're only trying to detect gnome vs kde, is there a particular set of distros or configurations you're targeting? How general does the solution have to be?",1
"@luser droog: I can surely try! where can I look at that source?",1
"How do you know it's not returning a 64-bit pointer? Have you done `sizeof(void *)` to check?",0
"Do you wish to optimise the code (make it run faster) or refactor the code (make it easier to read/maintain/modify)? If optimise, what are your timings, and how much do you need to reduce it by?",1
"Seems okay to me. What is it supposed to output?",1
"What this statement do is giving you no hire on interview and severe pay cut if found in production code. May be professor will like this answer? :)",0
"well... where is the problem? what results *are* you getting?",0
"Are you looking for a C program that you can invoke from the command line and that sets the current directory? Or you want to set the current directory within the C program?",1
"@Caf, you are right. What was I thinking?",1
"Welcome to Stack Overflow! Can you be a bit more specific about what you've tried before, what problems you've run into, and what we can help you with?",1
"This doesn't make sense. Do you mean introspection?",0
"Can you provide more details? Did your application launch at all before you received this dialog?",1
"Perhaps also a bit of information about the parameters to `Field()` would help. Also, are you trying to use a 1D or a 2D array to store the fields?",1
"Why are we reloading the page? Can't one manage all the data to be changed in a stream to the applet directly, or AJAX javascript?",0
"The answers all assume a different type of output. Can you give an example of how you want the output to look (or does it just need to be readable?)",1
"Sorry to up this, I found it via google, but it seems to work when the private static final field is a primitive type. Does anyone have an idea why ?",1
"I did go through that post, but I was looking for option for both Windows and Mac. is it possible to do this via shell extension ?",1
"I just tried this bc I was thinking along the same lines but for some reason when I implement with my data1.csv file it makes no difference, I think it is because of userID numbering and lettering. Is possible for me to send you the data file, so you can see what I mean?",1
"How long does your regression test take to complete? Surely it should be based on this?",0
"You think mapping strings to a variable's symbolic name is a good idea? Why in the world would you think that?",0
"How exactly should the effect look like? Fading out at the borders or something similar?",1
"What operating system? What kind of device connection?",0
"Nice.. you have almost give us enough details, last question. What is that `System.out.println(e.getCause().toString());` call printing?",1
"That's a lot of complicated code for something which could probably be shown a lot more simply. Care to provide a much simpler example... and an actual *question* to go with it?",0
"Youssef, have you had a chance to try one of the suggested approaches/tools for text categorization? If so, how did it work out for you?",1
"What do you mean by 'documents'? Something that looks like a report or just a spreadsheet full of numbers?",0
"is it converted to hex & then the hex is stored as byte array?? but why??",0
"When were closures for JDK 7 cancelled? You have a link confirm this?",0
"What do you mean by URL, exactly? This is a rather artificial concept with classpath resources - what would you do with that URL?",0
"Since when is `String` a primitive? Since when can you store primitives in a `Collection`?",0
"Do you have problem with it? Does it work?",0
"this is now the fourth question about the same addcube() function. perhaps there is a larger issue here that just indices?",0
"just to verify, can you capture what the generated SQL looks like for a simple get like `Session.get(SecurityContact.class, id)`, hql with `from SecurityContact where securityId = ?` and your left join attempt? Also, what version of Hibernate are you using?",1
"I'm afraid it's still unclear what you want to do with roomA and roomB. Are you trying to list every permuation of the two?",1
"wow, that's perfect. any one have any suggested appliances that they like to use?",1
"It's unclear what you're trying to do... why are you concatenating the strings if you don't *want* them concatenated? Could you give more sample inputs/outputs?",0
"For all downvoters, it may be that english it's not his native language. @varsha: You want to create such an application or you already have one and want to configure it?",1
"What exactly do you want to warn about, and what exactly do you want the message to be? How is `@Deprecated` itself not meeting your needs?",0
"What method *serialized* a `Boolean` to true and false? Or are you simply talking about producing a `String` from a `Boolean`?",0
"I've tried to understand your question, but it is hard. Can you improve the formatting so that we can see what you are asking?",1
"somewhere from the run dialog of JDeveloper. But are you sure you want to use this IDE?",1
"This sounds bizarre. Can you explain WHY you have to do it this way?",0
"So what's the problem? If you can read from server, then you don't know how to read if from local file, do you?",0
"We still need more details: do you have your own SMTP server? Or are you using a gmail acccount for instance to send your mail through?",1
"Is this homework? IF so, can you be more specific about what you don't understand?",0
"Probably a stupid question, but have you ensured that your machine resolves localhost correctly outside of java? At the CLI?",1
"To clarify: Are you using the same connection object to perform all the queries in your application? What specific connection class are you using?",1
"What is the value of isAuthenticated() after the exception is thrown? Is it possible that isAuthenticated() is then returning true meaning that continue simply causes the loop to exit?",1
"Well, you're ignoring all caught exceptions. Is an exception being thrown?",0
"I think I know what is the problem. How can I add 1 sec (or more) of empty audio between this two files?",1
"no offense, kid, but you're trying to build a chess game and are struggling to put labels on a board? Don't you think this kind of program is a little bit out of your league?",0
"How do you pass the design into jasper? Is it doable to have two designs depending on the option selected?",1
"Please add some clarification: Do you have a string and you want to know if the string contains a valid double such as 2.56? Or, do you have a list and you want to know if it has duplicates values?",1
"smells like homework. what have you tried?",0
"Do the strings have the same lenght? Would padding all to the length of the longest one be a problem?",1
"@Paul W they all just pass through, there's no getting off early. would you think it would be ok to change the initial call to somewhere further down the line to skip a few but use the main interface still ?",1
"Sounds like possible homework. What have you tried?",0
"@pickypg thanks. Can I extend JApplet and use it to the web application?",1
"I have an application.xml file but not sure how exactly how to use it. Have I missed some settings?",1
"Why aren't you just doing this.startActivity(intent)? Can you post the logcat?",0
"What have you tried? What are the difficulties you encounter?",1
"I'm sure the error says more than that. What else does it say?",0
"Meant to ask -- what do you mean by whether the JVM can remember the order of the nodes? If you use a List, isn't it the JVM implementing the list for you?",1
"@Jack Leow: I tried both running the server in debug mode & inspecting content and displaying it on the console with System.out.println(). @John Wagenleitner: Any idea as to what could be wrong on my side?",1
"You ask and answer your own question? Or am I completely missing out on something?",0
"What are you optimizing for? For example, read throughput (concurrent reads from multiple machines), fault tolerance in the face of machines becoming not available, low number of machines... Do you also need writes?",1
"It's still not clear. Does the URL have to contain `.com`?",0
"I'm not sure what you're asking... it is final; it is marked as such. Are you wanting to test that its value never changes during the execution of `method`?",0
"Did you restart the server? Why do you need to change it anyway - you can serve content in any locale?",0
"It reminds me of [APL](http://en.wikipedia.org/wiki/APL_%28programming_language%29). Tell me how comfortable you would be using that as a programming language?",1
"Can you please post the some sample code.To which panel you are adding this horizontal panel?Is there any spacing between the widgets added in the horizontal panel? or space is there on left side of whole horizontal panel?",1
"so what is your problem? You don't know how to copy the content?",0
"I'm being a bit thick but what exactly is the problem...Are you getting an exception? is so what?",0
"And ? What is the problem ?",0
"Why keeps everone calling Java **methods** *functions*? Is that what they're teached at schools nowadays?",0
"Please post the important parts of what you have now, and what you're having trouble with. Also, what does `stop-and-wait` mean?",1
"did you finally resolve your problem? did you file a bug-report?",0
"There already a bunch of free IDE out there, and you want to use Visual Studio ??? You have arguments to not use Eclipse or Netbeans ?",0
"Your question is too vague. What do you want to achieve exactly, and what did you already tried?",0
"Your error message tells us nothing. Do you have a detailed log --perhaps you can run it from the command line (as Ravi replied below) and paste the error messages?",0
"I never understood why sun/etc didn't implement a datespan or timespan class directly. given a Date or Timestamp class this is the first use case, isn't it?",0
"@Marko: Why do you think Swing will be deprecated? And how do you consider javafx to be a replacement?",1
"How did you import it into the project? Add to build path...?",1
"Would 'volatile' really have that effect in C? Don't you mean 'register'?",0
"@polyg: As I mentioned below, I'm not an expert in Java. Why are enums more powerful in Java than C++/C#?",1
"Please explain why you think the `ClassNotFoundException` is incorrect. Possibly even share some code?",1
"I want a pony. Now we're done sharing what we want, did you have a question?",0
"The bug you refer to is detected in 1.6.0_4 and not yet fixed. Why wouldn't you expect it to be present in your environment?",0
"Hi i asked a related question about just how many pixels android can draw and keep screen refresh speeds up. Just how many pixles are you drawing on each screeen and how fps are you getting ?",1
"Thanks, I forgot to add this . Where shall I add it in the list ?",1
"Are the Ajax or other porlet technologies good enough? Are there any other Java portlet technologies that I should study?",1
"So the request *does* actually make it to your `update` method (i.e. gets routed via the mappings with the `PUT` method correctly)?",0
"what are you trying to do with the ticket itself? Is it an option to generate tickets as needed using keytabs?",1
"Why are you trying to exchange data between component in the same system via a file? Why not use a temporary file to create a mock file?",0
"I suppose you managed to connect your RMI registry and look up your remote object, right? Can you provide stacktrace (on client / server)?",1
"@user393043, is it that you've consulted the documentation and are still confused? Or that you haven't even looked at the docs in the first place?",0
"So, your app creates a new html for each login? Or for each user?",1
"What's the relation between the classes Main and File2 ? (which one does inherit from which one ?)",1
"What do you mean by *the compiler thinks it's an integer*. How can the compiler think a 30-digit number is an `Integer`?",0
"sounds like a permissioning issue on the linux box. have you tried chmod?",1
"where are you viewing the records?? are you sure they are not stored well?",0
"Is `getFreeCrawler()` synchronized? In which line does the error occur?",1
"What do you mean by this, I'm actually testing the solution to check, if it is not adapted to single specific format of token only. What is single specific format?",0
"good question. Is the JVM open source (hotspot) or are the cools such as the javac compiler open source as well?",1
"Do you have a constructor defined for your class? Also, is the default JVM the official one from SUN?",1
"*I'm developing a Java desktop application that is to be used with Ubuntu.* What is the attraction of coding in Java when only targeting one OS?",0
"Do you want to simply have all the standard input in a single byte buffer at once? Do you know a maximum length of the input stream?",1
"it seems you are posting some parameter named `imagename` from your code, and you are trying to find path of that parameter ?? confusing, Or if you are uploading the file and you want the path to file from client????",0
"Then can you suggest me something, how should i do it. Because if i sort the array, i loose track of indexes, and i need to know which index the value came from??",1
"Why would you need to parse the HTML that you are generating? Are you going to need to be able to insert inline HTML that could invalidate?",0
"Clues? Any code???",0
"Could you share the relevant information with us *irrespective* of whether it is an exception, and error, or something else? Also, what does because I must there KeyPairValuOfStringAndCarType mean?",0
"Sorry I didn't mentioned it, but it's tab separated... It is possible to quickly replace the ',' by a '.' in the code or do I have to replace it with notepad++ or something?",1
"What do you mean by prefix? Do you mean to add a prefix to all the entity class names?",0
"What do you mean by incrementally? Do you whant to add all permutations in a List or do you want a function that produce the next permutation from the given string ?",1
"You just did! What are you asking that your query doesnt already do?",0
"What's not working? what do you expect it to do?",0
"why would you have to upload the access database? isn't it already on the server??",0
"Your code isn't going to work anyway. How can `tags` contain a new instance of the tag object?",0
"I think you may have made a typo in your question, you show Data #3 at index 4, then later show Data[4] = Data #4. But essentially you want to have an list with all 9 values, and fill in nulls where a value is not provided?",0
"Im also looking for an answear to this one. Is there any possibility with nhibernate to extend an entity from within another map without touching the main-map ?",1
"If so, that's a hell of a perf hit to take just to show the user a moving progress indicator. Why not just show a spinning ball or similar while the file is copying?",0
"Having the number of managed threads isn't very meaningful as a metric; most of those threads will have near-zero overhead when they're sleeping. Why do you want to know?",0
"Everything works except I can't register ANY mouseup/down events. Do you get an error, or does it just not work?",1
"You are not talking about the **old** share button right? can you provide us the *other* blogs that have this special like plugin?",0
"what error did you get (exception/error message) ? what exactly do you want to achieve when you say merging 2 PNG ?",0
"Why do you want 50 threads? And what is it that they are supposed to be doing exactly?",0
"***deletes even so cynical comment***. Can you tell a bit more about the nature of your data and how you want to display it?",0
"Are you sure you are getting the error on that line? What line are you trying to access the array on?",1
"Hmmm, still don't quite see what you're aiming for. Could you perhaps explain where you *think* things can be generalised/abstracted (at least verbally/in pseudocode)?",1
"I thought about leaving it as a hint to anyone else that restarting VS can always solve unexpected problems. What do you think?",1
"Internet Explorer may cause that. Can you check IE permissions please?",1
"Can you also show us parts of your XML file? Maybe what you are looking for are the **children** of <Images>?",1
"This looks unnecessarily complicated. What are `prodsofar` and `listsofar` supposed to represent?",0
"How do you do it presently? Do you persist the RedirectToRoute values in the POST form or hold them temporarily on the server somewhere?",1
"Why do you want to show multiple tooltips for a single control? Why not just combine the contents of the two into a single tooltip?",0
"Which part are you having trouble with? Do you need help determining if there are new items, or do you need to know how to start an executable once you've determined that there are new items?",1
"I've re-read the question at least 4x's now and am still confused, re: if your manager has great faith in your development skills, why isn't your manager giving you senior-level responsibilities? Or is it just the title you are seeking?",0
"That link isn't working for me. Can you check it?",1
"What do you mean it did not work? What happened?",0
"Sorry I figured the random characters in the receiving end of the socket gave it away. Why is the system receiving 94/64/and 7's (ascii decimal converted from ascii characters) and how can i fix it?",1
"Can you clarify a bit? You mean a type that implements `IEnumerable(<T>)`, or like an `enum` with a set number of values?",1
"@Dave Long: Thanks, great! Would you know what the name of that command is, in Tools -> Options -> Environment -> Keyboard?",1
"I'm not sure what your problem is. Aren't you sure about how to automatically data bind it?",0
"You may want to define efficient/clean. Do you mean simplest in terms of expression, or efficient in terms of processing speed, or most generic in terms of possible strings handled ... ?",1
"What are you asking? How to modify a stored procedure using SQL, or how to send a SQL command to the server?",0
"I think if you were to consider the DAL as a seperate entity and imagine that it was your sole responsibility whilst all consumers was work done by a third party, you would probably raise an exception for Access Denied - most of the framework would. If however, you want to avoid _exception logic_ it would be helpful to provide functions to help the consumers determine if they have sufficient access to data - though that sounds like more of a business logic issue, which is it that controls the access?",1
"Dude, awesome planning. Also, since there's at least two ways to do pretty much anything, how would you know if they are right or not?",1
"Thinking up good names is sometimes very hard. Why don't you post two examples and solicit names?",1
"What is the purpose of knowing if they are using the computer or not? What happens if they are not?",0
"You are correct Yi Jiang, we are only using HTML for his web developer. What do you mean when you refer to If so, then why add all the weight of a rendering engine when you can do the same natively?",1
"Why are you attempting to do multi-threaded UI? What is the problem that can't be solved with single-threaded UI?",0
"What do you know about the type already? Could you provide a sample context?",1
"Can you clarify the question? Are you asking why member variables must be declared outside the scope of a function, or are you finding that your constructor isn't working as expected?",1
"you are not giving us **nearly** enough detail to answer your question. First things first - is this a top down game, isometric, side scrolling?",0
"I guess you could have mis-typed the name of the textbox control. Is it TextBox1? :)",1
"I think this question it's more related to robotics than to coding. Have you tried to search into that category?",1
"@marc thanks. how can i fix it?",1
"I don't repro this at all. What *exactly* do you type?",0
"Your current solution may work but doesn't make sense to do it that way just so you can skip typing a class name. What is the problem with using the class name?",0
"What kind of input are you looking for, give little more details. [CommonDialog](http://msdn.microsoft.com/en-us/library/system.windows.forms.commondialog.aspx) look at the classes inheriting it do any of them look right for you?",1
"Subjective and argumentative? Really?",0
"Sorry for inconvenience. try any help here is it an error?",1
"Can you expand on your question? Are one of the arguments in this function supposed to be passed from the server?",1
"Show some code. How to you show the csv file?",0
"You want to transform a string to a byte array but you don't want to specify the encoding. How would you possible decode it back to a string without knowing how it was encoded?",0
"The resulting table shouldn't have that primary key. What provider are you using?",1
"Isn't that a bit of an odd measure? Would you choose to become a factory worker because it's *easier* and *faster to learn*?",0
"@Jon Skeet @Brain Rasmussen I apologise, they did not appear on the 'related questions' nor on my searching. @digEmAll I'm somewhat new to C#, couldn't I use the second one if I used a nullable Bar?",1
"@phoog Ah, and haha, read this question: it's not homework. It seems that he's creating square wheels in some company (or maybe he's freelance?).",0
"Where's your public key token for the assembly? Are you adding these manually to your config file or through the IDE?",1
"Why can't your second snippet just `return result`? Or at least, if Yes or No or Cancel, `return result`?",0
"What do you mean? exact practical view?",0
"do they have to be executables? what about MEF and doing the apps as plugins for the launcher?",1
"How are you using the FtWebRequest class? Do you have to problem with all FTP servers or just the one?",1
"Sorry Allen...Have you been able to reproduce the users problems ? do you trust the user ?",1
"As an aside, do you do a lot of maintenance programming... on your own code? How large, in LOC, are the projects you are working on?",1
"i've checked the values at the return statement...they're valid...but once it actually returns i get nothing. is this something to do with scope?",1
"What is the full exception? Also, the bits you commented out, which actually iterate over the linq query, what does that look like?",1
"Also, what time are you synchronising? And why?",0
"Could you be a bit more specific? What do you mean by short key for scroll?",1
"How is your DAL structured? Is there only one Assembly?",1
"What would you like in the case of, e.g., `http://example.com/test.php?key=val` ? Or `http://example.com/test.htm#section1` ?",1
"Perhaps this is not a good candidate for binding to a property grid. Can you set the property, save the result, have that return instantly, and then later on, based on some user action, run your long-running operation?",1
"Delegates don't work!? Do you use Control.BeginInvoke() method to invoke delegates?",0
"Don't let that link get to the agile evangelists, they will ROTFLOL in the best Weird Al style. You put a ton of work in a feature and only after its almost DONE you get feedback from the primary consumer, guess what happened?",1
"I don't want to type my credentials in again. Couldn't you just give me an admin role and handle the authorization in your code?",0
"Thanks, Dimitry. I responded on the other board as well, but do you have any samples of a wrapper-based timer that I can use?",1
"Is there a reason you dont just let IIS do this for you? Or use the `<authorization>` features in your web.config?",0
"Can you specify how the automated build tool invokes the click event? Is it some sort of UI testing tool that may have a bug?",1
"I'm not really sure what you're looking for that pinvoke.net doesn't provide. Can you cite an example where it didn't give you what you needed?",1
"How are you closing the connection on the server? `close` or `shutdown`?",1
"can you post the xaml? where you are binding at?",0
"but that won't work. - please be specific, why people should guess?",0
"Yes, I do. Am I referencing a keyword by mistake?",1
"The hash is used (often) to capture state, while a URL (as its [definition suggests](http://en.wikipedia.org/wiki/Uniform_Resource_Locator)) is for **identifying a resource**. So again, why would you push a non-existent url into the browser's history?",0
"Does it do anything other than deselect it? That seems a little redundant, why not just uncheck the checkbox?",0
"Actually, it worked locally but then did not work live on the site. On the site it is still saying Access Denied even if calling the jQuery file from the same domain/subdomain combination... any thoughts?",1
"Did you ever get this resolved successfully? Do you still need help with this?",1
"You might want to specify what language you're trying to do the parsing in - if in C, C#, JavaScript. If JavaScript, are you perhaps trying to your own HTML document from within a browser, or offline?",1
"Is it possible that you're caching values that some code paths don't actually use? Could you be caching things that are only used once?",1
"Aha! Can I also give you an answer which is not coded??? You and me need codes... Okay?",0
"any code? or do we have to guess at how you did it?",0
"Can you please post some code. How is data received at the client side?",1
"ok your 1 step closer to getting help. Now what exactly is _NOT working_?",0
"That's good news. Isn't there a Sherlock Holmes quote about how the answer to a mystery is never that something impossible has happened? :-)",1
"@Jeremy: What happens if you add this line to your code - `alert({iframe:true, innerWidth:425, innerHeight:344}.iframe)`. Does view source give you the same code?",1
"You could try telling us what the errors you are getting are. Or are we supposed to guess?",0
"1st of all, I think `string` is a reserved word, and shouldn't be used. Second of all, have you tried debugging with console.log?",0
"@Guffa What exactly should I do to make it absolutely clear that I don't care what for my vote is used aside from the fact that it lets the OP know that his / hers way is the best in my opinion? Would you stop making remarks if I upvote your post?",0
"How large is your triangle likely to be? Is it small enough to assume that the surface can be considered as flat or do you need spherical geometry?",1
"Not really, no (though maybe with JS). Is `display: block` a problem for some reason?",0
"Welcome to SO. What is a Try It Editor?",1
"How do you expect a DOM node to be serialized? What information do you want from a DOM node?",0
"It's not exactly clear what you're trying to do. Do you just want get the text of the HTML table without the HTML tags?",1
"Did you already ask this question? But i think the file path for tabify could be playing up??",0
"@Rippo: Tried it and it doesn't work. Isn't the `$form.find('.person')` supposed to find all elements that have the `person` class inside the form with `personas` id?",0
"@ammar: Isn't the entire purpose of internationalization with a resource bundle that your application display a number of languages correctly? Why would you then want to dictate to the user what language they should use?",0
"Just tested on IE8 Win7, it works! Does it reports some errors?",1
"So your .click listener/handler is functioning correctly (you can do other things within it?) and it's only your $.get function that has an issue inside the handler?",1
"Stick it in dynamically from where? You just need it to be a global js var?",0
"If the form starts with pre-filled data, I would think that data would be populated with placeholder=my text. If that's the case, clearing all inputs should be fine, right?",1
"Yes, I had to wait about 18 minutes or whatever it was, in that time I forgot to come back and accept it. Do I always have to wait for these flood checks?",0
"Usually you'd specify language in the tags (for example, HTML, CSS, PHP, etc.) What language are you using?",1
"if you mean _window.onload = onload_, then that would work, or something similar. have you tried your example to see what happens?",1
"@tjameson Ok, If I keep the `{10}` I should be able to ditch the `length != 10` right? or is it better not to?",1
"So is there any problem/issue you are facing? What is the problem?",1
"Is there any specific element you're targeting? Could you put together a sample structure?",1
"With highlighting, you mean selecting it or do you want to wrap it in e.g. a `span` tag?",1
"Please explain the kind of statistics you are trying to gather. Is it just number of loads or urls or is there some callback info you want when the user is using your widget?",1
"*Use a JavaScript literal.* Huh?",0
"Perhaps something else is receiving the request before your option page? AKA, the background page?",1
"Why would you want to round in such a strange way? How would this be useful for money rounding?",0
"Why do you need 200 variables? Why not have one array with 200 elements?",0
"I tried a if (ajaxBanner_timeout == 0) {... but that didn't work. Where do I need to define ajaxBanner_timeout?",1
"@Sorin: If it's just a simple script, then why do you need syntactic sugar at all? Is it pure vanity (*...but I want it to work this way because it looks much nicer*) or is there any technical reason that you cannot simply use the methods that are already there?",0
"Alright Mike - its been already posted on light house. Would you guys need any other things from me to recreate the error?",1
"For what its worth I have chrome 7. Is it possible that greasemonkey support was added at 7?",1
"@Ivo Wetzel So, you are saying there is not way to get all objects attributes and values ? Or to convert such object to an associative array ?",1
"@Mike: I would stick to what I have if this is better than what I am seeking. My thinking is if there was already an calculated number assigned, I can use it because $(.chk:even) and $(.chk:odd) would be iterating through all rows twice correct?",1
"Hey Sai - I'm having trouble picturing it my head. Any chance you have a design or a sketch for it?",1
"I can't think of any reason why this would be necessary. What are you trying to accomplish?",0
"`self` is reserved? Are you sure about that?",0
"What exactly you need to do? Any examples???",0
"This is probably more of a timing issue than anything else. Can you provide some information as to the actual application of this to whatever you're doing?",1
"Yes but making it cross browser will be headache. I have old code somewhere, untested for long time - want me to post it anyway?",1
"see if the `returnList.firstChild.textContent` is returning an array or not? By your statement can I assume that its working in FF and others?",1
"If something already exists. Why would I take the overhead of maintanance ?",0
"by js?? you mean AJAX??",0
"Have you tried? How? Some code?",0
"Do you want the complete question solved yourself? What exactly is the question here?",0
"Have you found the answer for your question? If yes would you please share it?",1
"i think there is a LOT of information you arent telling us. are there any examples of headers and footers you are trying to make?",0
"Sure seems to work for me on FF 3.6, Chrome 7, IE 8... http://jsfiddle.net/x3MMA/ (added a console.log to test). Are we missing some details of the problem?",0
"The result you're getting is odd. Can you please post more information?",1
"Could you elaborate on what is happening? Is the method being called at all?",1
"Why not just use the onmousedown event as a trigger for whatever you're attempting to do instead? (What are you trying to achieve?)",0
"Is the `.linkQuantite` element a child of the `<tr>` element? Does it work when you do `$(this).parent('tr').attr('class'));`?",1
"will u please rephrase the question? what do you want to do really?",0
"Can you provide the kind of input you're talking about in which there are no newlines? Do you mean there are no empty lines, or no newlines?",0
"so far im not using css ill leave that to the very last! so i dont think is css issue , other guy who was working here did the same thing i am doing but he used api v2 im using api v3 could this be the cause?",1
"**0% acceptance rate?** Really?",0
"Why is it an HTML file? Also can you please show the JSON?",1
"@Nick Usually they are <div class=section> but sometimes there are other classes. Does that matter?",0
"OK, now I'm curious. Why isn't this a syntax error?",0
"From your responses, it looks like you've made up your mind to do this despite all the people telling you not to. Why did you ask the question if you don't plan to understand/listen to advice?",0
